"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\app.ts", "TypeScript", 35, 41, 9, 85
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\communication-manager.ts", "TypeScript", 173, 7, 40, 220
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\firebase.ts", "TypeScript", 217, 4, 36, 257
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\index.ts", "TypeScript", 2, 46, 7, 55
"Total", "-", 427, 98, 92, 617
