"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\MarekP\RPi\src\web\public\js\components\pages\dashboard.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\components\pages\home-page copy.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\MarekP\RPi\src\web\public\js\components\pages\home-page.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\MarekP\RPi\src\web\public\js\components\pages\login-page copy.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 1, 14
"c:\Users\MarekP\RPi\src\web\public\js\components\pages\login-page.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 1, 14
"c:\Users\MarekP\RPi\src\web\public\js\components\pages\settings-page copy.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\MarekP\RPi\src\web\public\js\components\pages\settings-page.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\MarekP\RPi\src\web\public\js\components\pages\settings.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 5, 1, 13
"c:\Users\MarekP\RPi\src\web\public\js\errors\base-error.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\MarekP\RPi\src\web\public\js\errors\component-errors.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\MarekP\RPi\src\web\public\js\errors\method-errors.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\MarekP\RPi\src\web\public\js\errors\page-errors.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\MarekP\RPi\src\web\public\js\errors\system-errors\example-system-error.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\errors\system-errors\uknown-page-error.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\errors\system-errors\undefined-page-error.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\layouts\base-layout copy.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\layouts\base-layout.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MarekP\RPi\src\web\public\js\layouts\frame-detail.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
