"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\ESP.ts", "TypeScript", 44, 10, 14, 68
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\communication-manager.ts", "TypeScript", 143, 79, 33, 255
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\config-reader.ts", "TypeScript", 72, 28, 8, 108
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\error-logger.ts", "TypeScript", 198, 5, 27, 230
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\firebase.ts", "TypeScript", 797, 161, 109, 1067
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\index.ts", "TypeScript", 144, 130, 17, 291
"Total", "-", 1398, 413, 208, 2019
