"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\ESP.ts", "TypeScript", 52, 3, 17, 72
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\app.ts", "TypeScript", 34, 42, 9, 85
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\communication-manager.ts", "TypeScript", 144, 5, 30, 179
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\firebase.ts", "TypeScript", 245, 3, 48, 296
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\server\ts\index.ts", "TypeScript", 2, 46, 7, 55
"Total", "-", 477, 99, 111, 687
